"","Tranche2CDSValue_0.0005","Tranche2CDSValue_0.0008","Tranche2CDSValue_0.0012","Tranche2CDSValue_0.0016","Tranche2CDSValue_0.0028","Date"
"37",-470022.852624817,-1611962.34867998,-3134548.34342019,-4657134.33816041,-9224892.32238105,2005-03-04
"38",-519914.838474454,-1672731.34467049,-3209820.01959854,-4746908.69452659,-9358174.71931073,2005-03-07
"39",-553081.395797042,-1713761.80095318,-3261335.6744947,-4808909.54803622,-9451631.16866078,2005-03-08
"40",-568073.135942169,-1737334.42801279,-3296349.48410695,-4855364.54020112,-9532409.7084836,2005-03-09
"41",-576398.136265328,-1754338.73067636,-3324926.18989106,-4895513.64910576,-9607276.02674988,2005-03-10
"42",-551723.405981391,-1740119.13247316,-3324646.76779551,-4909174.40311787,-9662757.30908493,2005-03-11
"43",-485386.349811481,-1670326.29195777,-3250246.21481948,-4830166.1376812,-9569925.90626635,2005-03-14
"44",-421247.508507219,-1604633.49446873,-3182481.47575075,-4760329.45703277,-9493873.40087883,2005-03-15
"45",-342539.002255316,-1524111.02582263,-3099540.39057904,-4674969.75533546,-9401257.8496047,2005-03-16
"46",-268981.292314397,-1444629.8847871,-3012161.34141737,-4579692.79804763,-9282287.16793844,2005-03-17
"47",-207093.22543745,-1380016.99991756,-2943915.36589103,-4507813.7318645,-9199508.82978492,2005-03-18
"48",-176473.859377042,-1359279.47695666,-2936353.63372948,-4513427.79050231,-9244650.26082079,2005-03-21
"49",-151388.174844495,-1334649.26381774,-2912330.71578208,-4490012.16774641,-9223056.5236394,2005-03-22
"50",-156528.907187006,-1344615.57974084,-2928731.14314595,-4512846.70655106,-9265193.3967664,2005-03-23
"51",-164612.835977531,-1353167.89260631,-2937907.96811134,-4522648.04361637,-9276868.27013147,2005-03-24
"52",-168876.98939019,-1353897.74322536,-2933925.41500559,-4513953.08678581,-9254036.10212649,2005-03-28
"53",-171104.056396744,-1358148.91692208,-2940875.39762253,-4523601.87832298,-9271781.32042433,2005-03-29
"54",-150376.289766933,-1337956.1907685,-2921396.0587706,-4504835.92677269,-9255155.53077896,2005-03-30
"55",-120988.895149553,-1313228.88715226,-2902882.20982254,-4492535.53249281,-9261495.50050364,2005-03-31
"56",-65504.7209270355,-1260414.00466521,-2853626.38298277,-4446838.76130033,-9226475.89625302,2005-04-01
"57",19707.4600423626,-1148395.8708374,-2705866.97867709,-4263338.08651679,-8935751.41003585,2005-04-04
"58",96381.1677291822,-1059419.37780941,-2600486.77186087,-4141554.16591232,-8764756.34806669,2005-04-05
"59",161339.139685478,-992663.117686763,-2531332.79418308,-4070002.47067941,-8686011.50016837,2005-04-06
"60",230925.125364899,-915505.537548319,-2444079.75476594,-3972653.97198357,-8558376.62363643,2005-04-07
"61",309486.511875798,-833292.543656784,-2356997.95103356,-3880703.35841034,-8451819.58054067,2005-04-08
"62",348543.044197629,-821188.953793905,-2380831.61778262,-3940474.28177133,-8619402.27373746,2005-04-11
"63",432065.455475481,-741392.918097971,-2306004.08286257,-3870615.24762718,-8564448.74192099,2005-04-12
"64",514046.994922199,-661606.38846342,-2229144.23297758,-3796682.07749174,-8499295.61103422,2005-04-13
"65",593205.22090702,-580597.461702394,-2145667.70518161,-3710737.94866083,-8405948.67909849,2005-04-14
"66",651056.426227762,-524314.065540398,-2091474.72123128,-3658635.37692216,-8360117.3439948,2005-04-15
"67",685385.437181198,-489816.786896665,-2056753.08566715,-3623689.38443763,-8324498.28074909,2005-04-18
"68",686253.51215849,-485222.336337454,-2047190.13433205,-3609157.93232664,-8295061.32631042,2005-04-19
"69",671944.742288244,-498166.865626303,-2058315.67617903,-3618464.48673176,-8298910.91838995,2005-04-20
"70",630566.267068749,-539187.189369547,-2098858.46462061,-3658529.73987167,-8337543.56562485,2005-04-21
"71",570523.632866528,-598001.314711003,-2156034.57814771,-3714067.84158442,-8388167.63189454,2005-04-22
"72",515956.412230443,-657873.517703172,-2222980.09094799,-3788086.66419281,-8483406.38392727,2005-04-25
"73",443014.155024499,-731008.787433835,-2296372.71071162,-3861736.6339894,-8557828.40382273,2005-04-26
"74",361175.738323949,-816864.791213266,-2387585.49726289,-3958306.20331251,-8670468.32146137,2005-04-27
"75",298737.896598315,-887640.890516408,-2469479.27333604,-4051317.65615567,-8796832.80461456,2005-04-28
"76",242495.208030017,-943605.896245006,-2525074.03527837,-4106542.17431173,-8850946.59141183,2005-04-29
"77",225421.900842572,-957830.888269979,-2535501.27375338,-4113171.65923678,-8846182.81568699,2005-05-02
"78",216439.947800533,-966642.600312896,-2544085.99779747,-4121529.39528204,-8853859.58773576,2005-05-03
